id,name,category,one_liner,problem,burn,software_native,ship_speed,distribution,moat,total,priority,visibility,paid_layer,status,stage,platforms,repo,tags,notes,last_reviewed
P01,instruct-sync,AI Tooling,"Sync AI coding rules/instructions across Cursor, Copilot, Claude, Windsurf, Aider, Gemini, Continue",Every AI coding agent uses different rules files; they drift and teams lose consistency.,5,5,5,5,3,23,NOW,OPEN-CORE,Pro team sync + policy ($8–15/dev/mo),Public beta,Shipped / iterate,CLI,instruct-sync,"AI,CLI,devtools,rules,sync,suite",npm ai-instruct-sync@0.2.0-beta.0; hygiene suite #1 (sync); primary NOW product,2026-07-11
P02,ai-setup-doctor,AI Tooling,"Read-only diagnostics for agents, MCP, secrets, Node/project hygiene before AI coding sessions","Broken MCP, leaked secrets in agent configs, bloated rules, and project hygiene waste hours.",5,5,5,4,3,22,NOW,OPEN-CORE,Hosted CI checks tier,Published beta,Shipped / iterate,CLI,ai-setup-doctor,"AI,CLI,diagnostics,MCP,secrets,suite",npm ai-setup-doctor@0.1.0-beta.0 (latest+beta); hygiene suite #2 (diagnose),2026-07-11
P03,mcp-sync,AI Tooling,"Canonical MCP server config sync across Cursor, Claude, VS Code, Windsurf clients",MCP server JSON configs diverge per client; env vars and secrets get copy-pasted unsafely.,4,5,5,4,3,21,NOW,OPEN-CORE,Org-wide MCP catalog ($12/seat),Published,Shipped / iterate,"CLI,API",mcp-sync,"AI,MCP,CLI,config,suite",npm mcp-config-sync@0.2.0 + @bhaskarauthor/mcp-sync; hygiene suite #3; co-located at development/mcp-sync (own git remote),2026-07-11
P04,secret-guard,AI Tooling / Security,"Pre-commit and CI guard against secrets leaking into AI agent rules, MCP env, and prompts","API keys land in .cursor, CLAUDE.md, MCP env blocks, and chat exports.",5,5,4,4,3,21,NOW,OPEN-CORE,Team dashboard + SARIF CI ($15–40/dev/mo),Concept,Research,"CLI,Extension,API",secret-guard,"security,secrets,AI,CI",Can extract patterns from setup-doctor secret checks,2026-07-11
P05,llm-spend,AI Tooling / FinOps,"Unified LLM cost, token, and budget observability across OpenAI, Anthropic, Google, Azure, open models",Teams burn LLM budget with zero allocation visibility by project/user/feature.,5,5,3,3,3,19,NEXT,PRIVATE-PAID,SaaS usage tiers ($49–299/mo),Concept,Research,"Web,API,CLI",llm-spend,"AI,FinOps,observability,cost",Superseded for NOW by P30 agent-spend-guard (guardrails wedge); keep as broad-platform LATER path,2026-07-11
P06,skill-sync,AI Tooling,"Package, version, and sync agent skills/tools/prompts like packages across teams",Custom agent skills and prompt packs are copy-pasted Slackware with no versions.,3,5,3,3,4,18,NEXT,OPEN-CORE,Private registry ($99+/mo),Concept,Watch,"CLI,API,Web",skill-sync,"AI,skills,registry,devtools","Depends on skills format maturity (Claude skills, custom tools)",2026-07-11
P07,shadow-AI,AI Tooling / Security / GRC,"Discover unauthorized AI tools, browser extensions, and SaaS usage across the enterprise",Employees paste company data into consumer ChatGPT/Claude without IT visibility.,5,4,2,2,3,16,NEXT,PRIVATE-PAID,Enterprise per-seat SaaS,Concept,Research,"Web,Extension,API",shadow-ai,"security,GRC,CASB,AI",Enterprise sales motion; not indie-friendly,2026-07-11
P08,eval-harness,AI Tooling,Lightweight eval harness for prompt/agent regression tests in CI for product teams,Prompt changes break behavior silently; full ML platforms are overkill for app teams.,4,5,3,3,3,18,NEXT,OPEN-CORE,Cloud runs ($29–199/mo),Concept,Research,"CLI,API,Web",eval-harness,"AI,eval,testing,CI",Compete on simplicity vs LangSmith/Promptfoo,2026-07-11
P09,auth-anomaly-radar,Security / Identity / Fraud,"Lightweight auth anomaly detection for SaaS (impossible travel, credential stuffing signals)",SMBs enable Auth0/Cognito but lack fraud signals without enterprise SIEM.,4,5,3,2,3,17,NEXT,PRIVATE-PAID,MAU-based SaaS,Concept,Research,"API,Web",auth-anomaly-radar,"security,identity,fraud,SaaS",Integrate as webhook consumer for auth providers,2026-07-11
P10,fraud-signal-kit,Security / Identity / Fraud,"Composable fraud signal APIs (device, velocity, email risk) for Indian fintech and marketplaces",India digital payments fraud needs local signal stacks cheaper than global suites.,4,4,2,2,3,15,LATER,PRIVATE-PAID,Usage-priced API,Concept,Watch,API,fraud-signal-kit,"fraud,fintech,India,API",Regulatory/compliance heavy; partner path,2026-07-11
